n,method,regime,scenario,delta,variable,comparison,n_pairs,mean_diff,se_diff
2000,Conventional MSE,fixed_delta_0.04,F_delta_0.04,0.04,estimate,F_delta_0.04 - continuous,4996,0.03671149816672174,0.00044104001444938187
2000,Conventional MSE,fixed_delta_0.045,F_delta_0.045,0.045,estimate,F_delta_0.045 - continuous,4832,0.05291097617811207,0.0004935661289404452
2000,Conventional MSE,fixed_delta_0.05,F_delta_0.05,0.05,estimate,F_delta_0.05 - continuous,4040,0.0722272309140085,0.0005698650147944699
2000,Conventional MSE,shrinking_delta,S_shrink_delta_0.0250,0.025,estimate,S_shrink_delta_0.0250 - continuous,5000,0.01320026128801835,0.000289624336286378
2000,RBC MSE,fixed_delta_0.01,F_delta_0.01,0.01,estimate,F_delta_0.01 - continuous,5000,0.0006975822941394342,0.00011845703603995438
2000,RBC MSE,fixed_delta_0.015,F_delta_0.015,0.015,estimate,F_delta_0.015 - continuous,5000,0.001142383807179953,0.00017544808717861925
2000,RBC MSE,fixed_delta_0.02,F_delta_0.02,0.02,estimate,F_delta_0.02 - continuous,5000,0.0011359369839420014,0.00023405066568228162
2000,RBC MSE,fixed_delta_0.025,F_delta_0.025,0.025,estimate,F_delta_0.025 - continuous,5000,0.0029722951046015763,0.0002972078673597322
2000,RBC MSE,fixed_delta_0.03,F_delta_0.03,0.03,estimate,F_delta_0.03 - continuous,5000,0.003958734991619396,0.0003651753204991217
2000,RBC MSE,fixed_delta_0.035,F_delta_0.035,0.035,estimate,F_delta_0.035 - continuous,5000,0.005909575985995065,0.0004204754992002309
2000,RBC MSE,fixed_delta_0.04,F_delta_0.04,0.04,estimate,F_delta_0.04 - continuous,4996,0.008346828757555639,0.0004849823843977332
2000,RBC MSE,fixed_delta_0.045,F_delta_0.045,0.045,estimate,F_delta_0.045 - continuous,4832,0.013215317297390207,0.0005385367325095595
2000,RBC MSE,fixed_delta_0.05,F_delta_0.05,0.05,estimate,F_delta_0.05 - continuous,4040,0.023100767098261154,0.0006115914393444008
2000,RBC MSE,shrinking_delta,S_shrink_delta_0.0250,0.025,estimate,S_shrink_delta_0.0250 - continuous,5000,0.0029722951046015763,0.0002972078673597322
3000,Bias-aware/Honest,fixed_delta_0.01,F_delta_0.01,0.01,estimate,F_delta_0.01 - continuous,5000,0.0030514114645431543,0.00010742341819389548
3000,Bias-aware/Honest,fixed_delta_0.015,F_delta_0.015,0.015,estimate,F_delta_0.015 - continuous,5000,0.005166448215955178,0.0001592549218166618
3000,Bias-aware/Honest,fixed_delta_0.02,F_delta_0.02,0.02,estimate,F_delta_0.02 - continuous,5000,0.007320082136743086,0.0002103737081019861
3000,Bias-aware/Honest,fixed_delta_0.025,F_delta_0.025,0.025,estimate,F_delta_0.025 - continuous,5000,0.0127348405639069,0.00028134994474643323
3000,Bias-aware/Honest,fixed_delta_0.03,F_delta_0.03,0.03,estimate,F_delta_0.03 - continuous,5000,0.015375109784293869,0.0003175020905191986
3000,Bias-aware/Honest,fixed_delta_0.035,F_delta_0.035,0.035,estimate,F_delta_0.035 - continuous,4999,0.026824446905957623,0.00035433916065130905
3000,Bias-aware/Honest,fixed_delta_0.04,F_delta_0.04,0.04,estimate,F_delta_0.04 - continuous,4924,0.04094657506895187,0.00040039069615081433
3000,Bias-aware/Honest,fixed_delta_0.045,F_delta_0.045,0.045,estimate,F_delta_0.045 - continuous,3903,0.05906607639108565,0.00048681956586304223
3000,Bias-aware/Honest,fixed_delta_0.05,F_delta_0.05,0.05,estimate,F_delta_0.05 - continuous,1689,0.08301238780754784,0.0007799762053580685
3000,Bias-aware/Honest,shrinking_delta,S_shrink_delta_0.0204,0.0204124145231931,estimate,S_shrink_delta_0.0204 - continuous,5000,0.0076597255558828155,0.00021469460150361357
3000,Conventional MSE,fixed_delta_0.01,F_delta_0.01,0.01,estimate,F_delta_0.01 - continuous,5000,0.0030514114645429536,0.0001074234181939018
3000,Conventional MSE,fixed_delta_0.015,F_delta_0.015,0.015,estimate,F_delta_0.015 - continuous,5000,0.005166448215955071,0.00015925492181665722
3000,Conventional MSE,fixed_delta_0.02,F_delta_0.02,0.02,estimate,F_delta_0.02 - continuous,5000,0.00732008213674263,0.0002103737081019768
3000,Conventional MSE,fixed_delta_0.025,F_delta_0.025,0.025,estimate,F_delta_0.025 - continuous,5000,0.012734840563907042,0.00028134994474643865
