scenario,scenario_label,rep,u_mean,u_sd,u_skew,u_excess_kurtosis,u_q01,u_q05,u_q50,u_q95,u_q99,contam_share
N3,N3 One-sided contamination,500,-0.046246570140304984,0.8515853546589908,3.72163140825282,23.145474120753242,-1.6450619905720165,-0.9842340219461962,-0.11046736562682033,0.8322151958887184,5.008432841799933,0.014
N0,N0 Normal,501,0.0772409590853037,0.990600302458086,0.0584325561612505,-0.11538094861814852,-2.0124127459365613,-1.570934818289896,0.08520190525234447,1.7082866027504742,2.384973756203894,
N1,N1 Severe skewness,501,-0.0682842365817471,0.9339311043258942,2.858188376781457,10.385259812077294,-0.7069739788405099,-0.7039787684061377,-0.42497565462099474,1.7220505479968207,3.7436700965895082,
N2,N2 Extreme t3 tails,501,0.018010789055829566,0.9178529812126818,-0.5759962017303267,7.889942769153585,-2.8448516234052983,-1.266279524949778,0.006846118274023795,1.3446549526656546,2.387665233158691,
N3,N3 One-sided contamination,501,-0.02432400437620683,0.9542378948083943,3.8889618389673606,22.88251204945206,-1.379006703758948,-1.1239199590135975,-0.10020763098392119,0.912281737840866,5.609044714281716,0.016
N0,N0 Normal,502,-0.027439753147622863,1.0162273111195421,0.023616954538757846,-0.14224466499572008,-2.4272712572687323,-1.61300953414023,-0.0437082114727764,1.6460077917449736,2.420502064303692,
N1,N1 Severe skewness,502,-0.007698820148406462,0.9959553309515383,2.5657176709762046,8.86815108247764,-0.7070646474417578,-0.7053031582711573,-0.42494376656556787,1.9699506788556058,3.8023286836905874,
N2,N2 Extreme t3 tails,502,0.041102260345213866,0.9194484419404111,1.218335567728773,7.351655683665285,-2.315461768035417,-1.2996430739711884,-0.002296180604375738,1.4302774903605135,2.6609565598806095,
N3,N3 One-sided contamination,502,-0.028478904165197213,0.9773829579788705,3.6068083525293395,18.86078937925919,-1.4693400706820308,-1.1254644191682168,-0.10527976826177973,0.9368135124575715,5.629420880838109,0.02
N0,N0 Normal,503,0.040226044410550825,0.9415220960326232,0.12189912795349614,-0.2634602013480114,-1.9707500749466127,-1.445955306772163,-0.01812934973408241,1.69509950188282,2.109062480825807,
N1,N1 Severe skewness,503,-0.018102365784426085,1.0478444306956278,3.5685165613670824,19.645470589857783,-0.7067043855959482,-0.7021156099752447,-0.3958240545801624,1.9904078392544986,4.400056302338122,
N2,N2 Extreme t3 tails,503,-0.06329160443624195,1.0061933376506214,-0.05041269120306618,11.8548435017466,-3.1868114138865162,-1.5545222140979196,-0.008222824241436194,1.3077353634720725,2.1626332136456186,
