n,regime,method,frontier_failure_reason,count,share_within_scenario_method
2000,fixed_delta_0.04,RBC MSE,ok,4996,0.9992
2000,fixed_delta_0.04,RBC MSE,raw_failure,2,0.0004
2000,fixed_delta_0.04,RBC MSE,insufficient_unique_h,1,0.0002
2000,fixed_delta_0.04,RBC MSE,nan_ci,1,0.0002
2000,fixed_delta_0.045,Bias-aware/Honest,ok,4832,0.9664
2000,fixed_delta_0.045,Bias-aware/Honest,raw_failure,104,0.0208
2000,fixed_delta_0.045,Bias-aware/Honest,nan_ci,64,0.0128
2000,fixed_delta_0.045,Conventional MSE,ok,4832,0.9664
2000,fixed_delta_0.045,Conventional MSE,raw_failure,104,0.0208
2000,fixed_delta_0.045,Conventional MSE,nan_ci,33,0.0066
2000,fixed_delta_0.045,Conventional MSE,insufficient_unique_h,31,0.0062
2000,fixed_delta_0.045,RBC MSE,ok,4832,0.9664
2000,fixed_delta_0.045,RBC MSE,raw_failure,104,0.0208
2000,fixed_delta_0.045,RBC MSE,nan_ci,37,0.0074
2000,fixed_delta_0.045,RBC MSE,insufficient_unique_h,27,0.0054
2000,fixed_delta_0.05,Bias-aware/Honest,ok,4040,0.808
2000,fixed_delta_0.05,Bias-aware/Honest,raw_failure,533,0.1066
2000,fixed_delta_0.05,Bias-aware/Honest,nan_ci,427,0.0854
2000,fixed_delta_0.05,Conventional MSE,ok,4040,0.808
2000,fixed_delta_0.05,Conventional MSE,raw_failure,533,0.1066
2000,fixed_delta_0.05,Conventional MSE,nan_ci,215,0.043
2000,fixed_delta_0.05,Conventional MSE,insufficient_unique_h,212,0.0424
2000,fixed_delta_0.05,RBC MSE,ok,4040,0.808
2000,fixed_delta_0.05,RBC MSE,raw_failure,533,0.1066
2000,fixed_delta_0.05,RBC MSE,insufficient_unique_h,226,0.0452
2000,fixed_delta_0.05,RBC MSE,nan_ci,201,0.0402
2000,shrinking_delta,Bias-aware/Honest,ok,5000,1.0
2000,shrinking_delta,Conventional MSE,ok,5000,1.0
2000,shrinking_delta,RBC MSE,ok,5000,1.0
3000,continuous,Bias-aware/Honest,ok,5000,1.0
3000,continuous,Conventional MSE,ok,5000,1.0
3000,continuous,RBC MSE,ok,5000,1.0
3000,fixed_delta_0.01,Bias-aware/Honest,ok,5000,1.0
3000,fixed_delta_0.01,Conventional MSE,ok,5000,1.0
3000,fixed_delta_0.01,RBC MSE,ok,5000,1.0
3000,fixed_delta_0.015,Bias-aware/Honest,ok,5000,1.0
3000,fixed_delta_0.015,Conventional MSE,ok,5000,1.0
3000,fixed_delta_0.015,RBC MSE,ok,5000,1.0
3000,fixed_delta_0.02,Bias-aware/Honest,ok,5000,1.0
3000,fixed_delta_0.02,Conventional MSE,ok,5000,1.0
3000,fixed_delta_0.02,RBC MSE,ok,5000,1.0
3000,fixed_delta_0.025,Bias-aware/Honest,ok,5000,1.0
3000,fixed_delta_0.025,Conventional MSE,ok,5000,1.0
3000,fixed_delta_0.025,RBC MSE,ok,5000,1.0
3000,fixed_delta_0.03,Bias-aware/Honest,ok,5000,1.0
