n,support_bin,method,n_rows,n_success,n_minimal_usable,n_frontier_display_ok,success_rate,minimal_usability_rate,coverage,coverage_conditional_on_raw_success,coverage_conditional_on_minimal_usable,coverage_conditional_on_frontier_display_ok,mc_se_coverage,coverage_unconditional,avg_ci_length,median_ci_length,p95_ci_length,p99_ci_length,pathological_length_rate,formal_support_ok_rate,coverage_display_ok_rate,avg_local_support_score,avg_min_unique_h,avg_min_unique_b,avg_obs_h_left,avg_obs_h_right,avg_obs_b_left,avg_obs_b_right
750,0-2,RBC MSE,14753,14751,14748,0,0.9998644343523351,0.9996610858808378,0.9344451223645854,0.9344451223645854,0.9344317873609981,,0.002037833393976392,0.9343184437063649,1049.616142164176,0.2862484939204792,0.35824867313722253,0.4039854203050903,0.00020334847149732258,0.9996610858808378,0.0,1.9996610858808377,1.9996610858808377,4.814410628346777,45.34691249237443,37.65925574459432,120.3372195485664,78.25689690232495
750,3-4,RBC MSE,16990,16990,16990,0,1.0,1.0,0.9214832254267216,0.9214832254267216,0.9214832254267216,,0.0020636129891039535,0.9214832254267216,0.2762284506273907,0.26939798967517564,0.361689364130446,0.42093843770381095,0.0,1.0,0.0,3.3539729252501473,3.3539729252501473,7.463272513243084,49.940788699234844,40.85962330782814,120.98610947616245,78.70847557386698
750,5-7,RBC MSE,8377,8377,8377,8371,1.0,1.0,0.9191834785722812,0.9191834785722812,0.9191834785722812,0.9193644725839207,0.002977878154247572,0.9191834785722812,0.2749136738022971,0.2629267973189275,0.39345251527575514,0.5204447192469424,0.0,1.0,0.9992837531335801,5.754327324817954,5.754327324817954,12.851140026262385,49.177390473916674,40.35406470096693,120.8316819863913,78.61262981974454
750,8-12,RBC MSE,4869,4869,4869,4868,1.0,1.0,0.9363318956664612,0.9363318956664612,0.9363318956664612,0.9363188167625308,0.003499096994215154,0.9363318956664612,0.2788544019126958,0.2681645440312543,0.39795087789975864,0.4959377175413412,0.0,1.0,0.9997946190182789,9.211953173136168,9.211953173136168,20.384062435818443,48.611419182583695,39.99691928527418,120.15937564181557,78.49024440336825
750,13+,RBC MSE,5005,5005,5005,4997,1.0,1.0,0.9298701298701298,0.9298701298701298,0.9298701298701298,0.9301580948569141,0.003609612857925824,0.9298701298701298,0.2768262364761074,0.2668914809881793,0.3927419921960951,0.482043501633666,0.0,1.0,0.9984015984015984,37.137662337662334,37.137662337662334,76.44855144855144,46.03176823176823,38.234965034965036,116.14705294705294,76.52967032967032
750,missing,RBC MSE,6,0,0,0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,
1000,0-2,Bias-aware/Honest,16973,16958,16958,0,0.9991162434454722,0.9991162434454722,0.9998230923457955,0.9998230923457955,0.9998230923457955,,0.00010212864690823633,0.9989394921345667,0.5864735990651151,0.5894843266542198,0.7008455753698117,0.7241460082809131,0.0,0.9991162434454722,0.0,1.9991162434454721,1.9991162434454721,4.732103929770813,59.17121310316385,49.27390561479998,152.85535851057563,101.20526718906498
1000,3-4,Bias-aware/Honest,16153,16153,16153,0,1.0,1.0,0.9987618399058998,0.9987618399058998,0.9987618399058998,,0.00027668956152637433,0.9987618399058998,0.4377179267793658,0.433226492758167,0.5422323393001779,0.5950201800006252,0.0,1.0,0.0,3.3594378753172784,3.3594378753172784,7.616727542871293,62.04667863554758,51.396582678140284,152.87414102643473,101.43768959326441
1000,5-7,Bias-aware/Honest,7274,7274,7274,7274,1.0,1.0,0.996563101457245,0.996563101457245,0.996563101457245,0.996563101457245,0.0006861974647043268,0.996563101457245,0.40977893652372493,0.40571591588827394,0.5168646812125901,0.5825894491950383,0.0,1.0,1.0,5.678443772339841,5.678443772339841,12.947346714324993,61.01993401154798,50.642287599670055,152.15411053065714,101.06956282650536
1000,8-12,Bias-aware/Honest,4573,4573,4573,4573,1.0,1.0,0.998031926525257,0.998031926525257,0.998031926525257,0.998031926525257,0.0006553786214442059,0.998031926525257,0.3995499333037719,0.3942757493784024,0.5069911327243607,0.5640705406254735,0.0,1.0,1.0,8.811064946424667,8.811064946424667,20.05029521102121,60.13623441941832,50.135797069757274,151.78329324294774,100.96763612508201
